,title,date,link,author,text
0,Vienna shooting: Gunman hunted after deadly 'terror' attack,"Tue, 03 Nov 2020 01:36:46 GMT",https://www.bbc.co.uk/news/world-europe-54786952,,"Gunmen armed with rifles have opened fire in six different locations in central Vienna, killing two people and wounding several more, police say. Austrian Chancellor Sebastian Kurz called it a ""repulsive terror attack"" and said one gunman was also killed. Police were searching for at least one attacker who was still at large, the interior minister said. The shootings took place near Vienna's central synagogue but it is not yet clear if that was the target. One of the victims was killed at the scene of the shootings while a second - a woman - died later in hospital from her wounds, Mayor Michael Ludwig said. It is believed 14 other people remain in hospital, six in a serious condition. A police officer is among the injured, the interior ministry said. In pictures: Scene of gun attack in Vienna The attack happened just hours before Austria imposed new national restrictions to try to stem rising cases of coronavirus. Many people were out enjoying bars and restaurants which are now closed until the end of November. European leaders strongly condemned the shooting. British Prime Minister Boris Johnson said he was ""deeply shocked by the terrible attacks"". Police said the incident began near the Seitenstettengasse synagogue, which is the main temple in Vienna. Jewish community leader Oskar Deutsch tweeted that the synagogue was closed at the time the attack began at 20:00 (19:00 GMT). An officer guarding the synagogue was among the wounded, newspaper Kronen Zeitung reported. It was not immediately clear how many attackers took part in the shooting. Austrian media said one person had been arrested, citing the interior ministry. Footage posted on social media showed people running through the streets as gunshots rang out.  Witness Chris Zhao was in a nearby restaurant when the shooting started. He told the BBC: ""We heard noises that sounded like firecrackers. We heard about 20 to 30 and we thought that to be actually gunfire. We saw the ambulances... lining up. There were victims. Sadly, we also saw a body lying down the street next to us."" As a major anti-terror operation swung into action, police urged people to avoid the area and not to use public transport. Roadblocks were set up around the city centre.  Police in the neighbouring Czech Republic said they had launched random checks on the border with Austria amid fears that the gunmen might head in that direction. On Twitter, Mr Kurz said ""we are experiencing difficult hours in our republic"".  ""Our police will act decisively against the perpetrators of this hideous terrorist attack. We will never allow ourselves to be intimidated by terrorism,"" he said. European leaders condemned the attack, with French President Emmanuel Macron saying that Europe must not ""give up"" in the face of attacks. ""We the French people share the shock and grief of the Austrian people, struck this evening by an attack in the heart of their capital, Vienna. After France, a friend of ours is attacked. This is our Europe. Our enemies must know who they are dealing with,"" he said. Three people died in a knife attack in a church in the French city of Nice last week in what Mr Macron said was an ""Islamist terrorist attack"". The UK prime minister also said the country's ""thoughts are with the people of Austria - we stand united with you against terror"" while Home Secretary Priti Patel said ""we stand ready to support in any way we can"". European Council President Charles Michel called it a cowardly act that violated life and human values. Dutch Prime Minister Mark Rutte called the shooting ""a heinous act"" and expressed ""solidarity"" with Austria. "
1,Covid-19: Liverpool to pilot city-wide coronavirus testing,"Tue, 03 Nov 2020 03:10:31 GMT",https://www.bbc.co.uk/news/health-54786130,,"People in Liverpool will be offered regular Covid-19 tests under the first trial of whole city testing in England. Everyone living or working in the city will be offered tests, whether or not they have symptoms, with follow-up tests every two weeks or so. Some will get new tests giving results within an hour which, if successful, could be rolled out to ""millions"" by Christmas, the government says. Liverpool has one of the highest rates of coronavirus deaths in England. The latest figures show the city recorded 1,754 cases in the week up to 30 October. The average area in England had 153.  Along with the surrounding region, Liverpool was the first part of England to go into tier three restrictions. The pilot aims to limit spread of the virus by identifying as many infected people as possible, and taking action to break chains of transmission. What are the challenges of mass testing?'We are hanging by a thread' - Liverpool doctorCoronavirus: How to get a Covid testCovid-19 tests to be offered to all Redcar residents On Monday, the UK recorded 18,950 new confirmed cases of coronavirus and 136 deaths within 28 days of a positive test. A rising number of cases in recent weeks prompted Prime Minister Boris Johnson to announce a national lockdown in England. MPs are set to vote on the plan on Wednesday,  Mr Johnson told the Commons there was ""no alternative"" but to introduce the lockdown - which is due to begin on Thursday - if the government was to stop the NHS from being overwhelmed. He also said ministers were planning a ""steady but massive expansion in the deployment of quick, turnaround tests"". The Liverpool pilot will start this week and will include a mix of existing swab tests and new lateral flow tests, which can provide a result within an hour without the need to use a lab. New test sites will be set up across the city, including in care homes, schools, universities and workplaces. People will be able to book online, turn up in person, or wait for an invitation from the local authority. Around 2,000 military personnel will help plan the logistics and deliver tests. Announcing the pilot, Mr Johnson said: ""These tests will help identify the many thousands of people in the city who don't have symptoms but can still infect others without knowing.  ""Dependent on their success in Liverpool, we will aim to distribute millions of these new rapid tests between now and Christmas and empower local communities to use them to drive down transmission in their areas. ""It is early days, but this kind of mass testing has the potential to be a powerful new weapon in our fight against Covid-19.""  You can spread coronavirus before you even feel sick. That's why testing everyone - symptoms or not - can be such as powerful tool for getting on top of the virus.   China has shown it is possible to test entire cities of millions of people. However, there are questions with both the tests used and the strategy as a whole.   Rapid or ""lateral flow"" tests need high levels of the virus in the body in order to work. It is not yet clear how good they are at catching people in the early stages of the infection when the virus is still taking hold.   False positives - when you don't have the virus, but the test says you do - are also a bigger problem when you test large numbers of people. One analysis suggested a twice-a-week test for six months using a test with a 1% false positive rate would lead to more than 40% of people being wrongly told they had the virus. But even a perfect test cannot change the course of Covid on its own. There is already an issue with too few people fully isolating even when they have Covid symptoms and have tested positive.  Will people isolate when they have no symptoms at all or will they even come forward for testing if it might mean missing work and pay? The UK's first attempt at city-wide testing will help find the answers.  Liverpool's city mayor Joe Anderson told the Liverpool Echo mass testing could be a ""game-changer"" for the city. He said local leaders had been working with the government on the plan, adding: ""If this goes well, it could enable us to have some semblance of a normal Christmas here in Liverpool."" Former Health Secretary Jeremy Hunt told BBC Newsnight that ministers should set a target date in 2021 for achieving regular testing of the whole population. ""We know then, if we do that, we can control this virus - and that is the hope that people up and down the country want,"" he said.  ""They feel a lot of despair at the moment because they can't see light at the end of the tunnel."" The national lockdown in England will last until 2 December. Elsewhere in the UK, a new five-level system of coronavirus restrictions came into force in Scotland on Monday. In Wales, First Minister Mark Drakeford has said two households in Wales will be able to form a bubble and meet at home after the 17-day firebreak ends on 9 November. Schools in Northern Ireland have reopened after an extended half-term break, while other restrictions including the closure of pubs, bars and restaurants continue until 13 November. PAY-PACKET SUPPORT: What do chancellor's plans mean for wages?SUPPORT BUBBLES: What are they and who can be in yours?THE R NUMBER: What it means and why it mattersTEST AND TRACE: How does it work? LACKING MOTIVATION?: 6 hours of dance hits to help you stay energised all day longTHE NAKED SCIENTISTS: Why are people catching coronavirus on purpose? "
2,US Election 2020: Biden and Trump make final pitches to voters,"Tue, 03 Nov 2020 02:37:44 GMT",https://www.bbc.co.uk/news/election-us-2020-54787441,,"US President Donald Trump and his Democratic challenger Joe Biden have spent the final hours of the White House race delivering their closing pitch to voters in critical states. Mr Biden campaigned in Pennsylvania and Ohio, as Mr Trump toured the voting battlegrounds of Wisconsin, Michigan, North Carolina and Pennsylvania.   National polls suggest a firm lead for Mr Biden in Tuesday's election. But his lead is narrower in the handful of states that could decide the result. More than 98 million people have already cast their ballots in early voting, putting the country on course for its highest turnout in a century.  US election 2020: A really simple guideUS businesses brace for election unrest In the US election, voters decide state-level contests rather than an overall single national one.  To be elected president, a candidate must win at least 270 votes in what is called the electoral college. Each US state gets a certain number of votes partly based on its population and there are a total of 538 up for grabs. This system explains why it is possible for a candidate to win the most votes nationally - like Hillary Clinton did in 2016 - but still lose the election. Tuesday's vote comes amid the ongoing coronavirus pandemic. The US has recorded more cases and more deaths than any other country worldwide, reporting more than 81,000 new infections on Sunday alone.   Top virus expert Anthony Fauci has sharply criticised the Trump administration's handling of the pandemic, drawing a rebuke from the White House on Sunday. As the nation counts down the hours to the vote, there are fears that pockets of post-election violence could break out. Businesses in the nation's capital, Washington DC, and in New York City have been seen boarding up their premises due to concerns about unrest. Meanwhile, the FBI says it is investigating after a convoy of vehicles with Donald Trump flags surrounded a bus carrying Mr Biden's campaign staff on a Texas highway last week. After a punishing schedule of rallies in six states on Sunday, President Trump was sprinting through four more battleground states on Monday. In North Carolina, he told supporters that ""next year will be the greatest economic year in the history of our country"". The rally was postponed from Thursday due to Hurricane Zeta.  He touted numbers that he says ""nobody even thought possible"". The US economy saw record-breaking 33% growth in the third financial quarter of this year, following a record 31% contraction in the second. But economists warn the damage inflicted by the pandemic - the biggest decline in the US economy in more than 80 years - could still take years to overcome. After North Carolina, Mr Trump headed to Scranton, Pennsylvania, the city where his opponent lived until he was 10. At a rally there he reminded his supporters that he won the state in 2016 despite polls suggesting he would lose.  The economy under Trump in six chartsFact-checking the closing days of the US electionTrump is in the fight of his political life Mr Biden also went to Pennsylvania where he was joined by singer Lady Gaga at a rally in Pittsburgh. Musician John Legend addressed voters with vice-presidential candidate Kamala Harris. Where Trump and Biden stand on guns, race and climateThe women who hold the key to Trump's survival At a last-minute campaign stop in Ohio, Mr Biden repeated the core message of his campaign, telling voters that the race was about the soul of America. He said it was time for Mr Trump to ""pack his bags"", saying ""we're done with the tweets, the anger, the hate, the failure, the irresponsibility"". The race in Ohio is extremely tight. In 2016, Mr Trump won by more than eight points - currently, he has a 0.2% lead over Mr Biden, according to an aggregate of polls by RealClearPolitics. Also on Monday's itinerary for Mr Trump were rallies in Traverse City, Michigan, and Kenosha, Wisconsin. Kenosha was rocked by violent protests in August after the police shooting of a black man. In Traverse City he asked for the votes of black Americans. The great dividing line of US electionWhy racism is still a problem for the world's most powerful country His last rally of the campaign is due to be held in Grand Rapids, Michigan, before midnight. On Sunday the candidates attacked each other on two of this campaign's key themes - Covid-19 and racial tension. The president and his campaign have meanwhile indicated they will sue to block the potentially pivotal state of Pennsylvania from counting postal ballots received three days after the election. The US Supreme Court allowed a lower court ruling granting the extended deadline to stand, but several conservative justices signalled they might be open to revisiting the issue after the vote. Mr Trump tweeted on Monday that the high court decision allowing ballots to be accepted three days after election day was ""a very dangerous one"".  ""It will allow rampant and unchecked cheating and will undermine our entire systems of laws. It will also induce violence in the streets. Something must be done!"" Twitter added a warning label that the tweet might contain ""misleading"" information. Legal fights over ballots have also been unfolding in Minnesota, North Carolina and Texas. Mr Biden has already vowed to stop President Trump ""stealing"" the election. President Trump is to host an election night party inside the White House with about 400 guests invited. Up to 10,000 protesters are meanwhile expected to gather at Black Lives Matter Plaza and a park not far from the White House, according to CBS News. Mr Biden and Ms Harris will watch the election night returns in the former vice-president's hometown of Wilmington, Delaware. It can take several days for every vote to be counted after any US presidential election, but it is usually pretty clear who the winner is by the early hours of the following morning. In 2016, Donald Trump took to the stage in New York at about 03:00 local time to give his victory speech in front of a crowd of jubilant supporters. What is the electoral college?How many Americans have voted early so far? But do not set your alarm clocks just yet. Officials are already warning that we may have to wait longer - possibly days, even weeks - for the result this year because of the expected surge in postal ballots. The last time the result was not clear within a few hours was in 2000, when the winner was not confirmed until a Supreme Court ruling was made a month later. Different states have different rules for how - and when - to count postal ballots, meaning there will be large gaps between them in terms of reporting results. In some states it will take weeks to get complete results. On Sunday, a report by news site Axios said Mr Trump would declare victory on Tuesday night if it looked as if he was ahead.  Mr Trump denied the report, but said that counting ballots after election day was a ""terrible thing"". Meanwhile, Mr Biden vowed to stop President Trump ""stealing"" the election. Who will be the next US president? You decideDo claims of US postal voting fraud stack up?Full coverage of the US election The two rivals have radically different policies on several key issues. On the coronavirus outbreak, Mr Trump set up a task force in January which he says has now shifted its focus to ""safety and opening up our country"". The president is also prioritising the speedy development of Covid treatments and vaccines, directing $10bn towards such projects. Mr Biden wants to set up a national contact-tracing programme, establish at least 10 testing centres in every state, and provide free coronavirus testing to all. He supports a nationwide mask mandate, which would require face coverings to be worn on federal property. What are Trump's and Biden's policies?What has Trump said about your country? On climate change, Mr Trump, being a sceptic, wants to expand non-renewable energy, and he has committed to withdrawing from the Paris Climate Accord.  Mr Biden says he would immediately re-join the Paris deal, and he also wants the US to reach net zero emissions by 2050. On the economy, Mr Trump has pledged to create 10 million jobs in 10 months, as well as one million new small businesses. He wants to deliver an income tax cut, and provide companies with tax credits to incentivise them to keep jobs in the US. Mr Biden wants to raise taxes for high earners to pay for investment in public services, but says the increase will only impact those earning over $400,000 a year. He supports raising the federal minimum wage to $15. Could TikTok influence the election result?: How the app and its users are changing US politicsUS election: Facts or fiction?: Exploring the candidates' claims during the campaign "
3,Universities and colleges face Covid funding shortfalls,"Tue, 03 Nov 2020 01:01:24 GMT",https://www.bbc.co.uk/news/education-54780790,,"Universities and colleges in England face ""significant funding shortfalls and heightened uncertainty"" due to the Covid-19 pandemic, a report warns. The Institute for Fiscal Studies says fewer overseas students, potentially higher dropouts and high pension costs are a financial risk for universities. Further education colleges still face budget pressures, despite a £400m cash boost, says the report. In July ministers said universities could apply for emergency loans. The IFS report on education spending in England, which was funded by  the Nuffield Foundation, warns that universities could be exposed to a range of financial losses, such as falling international student numbers and more students failing to complete their degrees. ""By far the largest source of financial risk for universities is pension costs,"" it says.  ""New figures suggest the additional cost to universities of meeting existing pension promises may well be as high as £8bn, or double our previous estimate of around £4bn.""  Colleges' financial health 'fragile', say auditorsEmergency loans for universities about to go bustCan I get a refund from my university this year?More students say university not value for money Universities could only reduce this by ""taking on more risk, making further reductions in the pensions provided by the scheme, big rises in employees' contributions"" or a combination of these. But such measures are likely to be controversial - last academic year, lecturers went on strike over pensions, as well as pay and conditions. The IFS also says student numbers in further education colleges and sixth forms are likely to increase this year, partly due to rising numbers of young people and partly due to ""unusually high GCSE results"" and significant reductions in training and employment opportunities. While England's colleges and sixth forms will receive an extra £400m this year,  ""exceptional rises in student numbers could still generate a real-terms fall in funding per student"". They will also face challenges around educational catch-up, but may also ""need to expand to accommodate extra students as apprenticeship and employment opportunities dry up"", the IFS says.  The report also raises concerns about early years provision, saying settings are likely to be ""much more financially exposed, both to the second lockdown and more broadly to a rather slow and incomplete return of demand for childcare"". While early years providers ""were financially well protected"" during the first lockdown by the government's commitment to continue to fund the free entitlement hours, a reassessment of this funding in January 2021 could prove problematic for providers. Report co-author Ben Waltmann said there had been speculation in the summer that universities would need a financial bailout.  ""In the end, student numbers have held up better than expected, but universities still face financial risks from no-shows or higher-than-usual dropout, as well as reductions in other income streams,"" he said.  ""By far the biggest source of risk now appears to be the large deficit on the main university pension scheme, which has increased from £3.6bn in March 2018 to a monumental £21.5bn in August 2020, according to the latest preliminary estimate.  ""With contributions already at more than 30% of earnings, it is hard to see how a deficit on this scale, if confirmed, could be evened out without further cuts in the generosity of the scheme."" Co-author Imran Tahir said the government had made transforming further education colleges a big priority, pledging  £400m in extra funding at the 2019 Spending Review. He said this could be ""the first real-terms increase in spending per student for about a decade"".  ""However, student numbers could have risen dramatically more than expected due to a reduction in training, apprenticeship and employment opportunities, on top of population growth.  ""If there is no additional funding forthcoming, planned real-terms increases in spending per student could be mostly - if not entirely - eroded."" Geoff Barton, head of the head teachers' union ASCL, said colleges were often ""treated by the government in terms of funding as a Cinderella service"".  Bill Watkin, chief executive of the Sixth Form Colleges Association, said the reduction in funding had led to ""courses being cut, support services reduced and extra-curricular activities removed for 16 to 18 year olds across the country"".  The £400m investment ""was a welcome step"", he said, ""but was only a one year deal following a decade of neglect."" "
4,US election: A wild three-year campaign in three minutes,"Mon, 02 Nov 2020 22:43:10 GMT",https://www.bbc.co.uk/news/election-us-2020-54772656,,"Billions of dollars spent, dozens of candidates, two nominees, one pandemic.What started with a little know congressman in the summer of 2017 ended as the most expensive US presidential election of all time. It featured 26 candidates for the Democratic Party nomination, the first black and Asian-American woman vice-presidential nominee, and some other historic firsts.Produced by Franz Strasser and Joaquim Salles  "
5,Lockdown retail: 'It has been the toughest year I've ever had',"Tue, 03 Nov 2020 02:20:12 GMT",https://www.bbc.co.uk/news/business-54783329,,"The new lockdown in England means all ""non-essential""  retailers, such as clothing and electronics stores and tourist shops, will have to shut from Thursday. It has left many thousands of shops scrambling to adapt, we speak to some of them about how they're trying to prepare for the disruption. When Will Watts had to mothball his coastal tour business during the first lockdown, he decided to fulfil a long-held dream - opening his own fossil shop in Scarborough in Yorkshire. After nine weeks setting it up and much investment, he opened in late October and saw strong sales over the half-term break.  But cruelly, within a week the prime minister had called another national lockdown, meaning that from this Thursday Will must shut his new store to the public.  ""It has been the toughest year I've ever had,"" Will tells the BBC. ""It does make you question why you do what you do."" Some things will be easier than in the first shutdown in March - for example all non-essential shops can offer deliveries and click and collect, while the newly extended furlough scheme will up and running from day one.  And while a full list is yet to be published, it seems a slightly wider range of retailers will be allowed to stay open, with garden centres joining the usual suspects like supermarkets and food shops. All non-essential retail shops must shut from Thursday including: Clothing storesElectronics storesVehicle showroomsTravel agentsBetting shopsAuction housesTailorsCar washesTobacco Vape shops The government will publish a more detailed list in due course But, as Will points out, lockdown two falls in the vital period running up to Christmas and ""gift stuff is a big part of what we do"". ""We can do deliveries and click-and-collect but we are selling unique things that people want to see and feel before they buy,"" he says. ""When you go online you are in direct competition with Ebay and Amazon,"" he adds.  Naturally he's worried about the future, as he has just moved into a new building and has his staff to think about. ""I think we can make it but there is a slight nagging doubt that we won't.""  According to the British Retail Consortium, the forced closure of shops in November will cost about £2bn per week in lost sales as we enter the ""all-important"" Christmas period.  That's at a time when shop sales are already well below pre-pandemic levels. For Helen Sheward, who runs Gently, a chain of four gift and homeware shops in South East London, it's a big worry. ""We thought we could make up some of the losses from the first lockdown this Christmas, but we won't now,"" she says.  ""I cried all weekend after I heard the prime minister's announcement.""  Second England lockdown 'a devastating blow' Trying to compete online will not be easy, she says, but she plans to go to town on social media and use her shop windows as a marketing tool.  ""In the last lockdown the shutters were down, but this time we are going to open them every morning so people can browse through the windows. We will keep refreshing the displays to showcase the products."" Her six staff will go back on furlough, meaning she will be running the business single handed in a lockdown that she fears will last well into December.  ""It's a big ask for me - we have two kids, my husband works... But you put it in perspective and you think, we will survive and there are far more people living with much greater problems than this.""  On top of the furlough scheme, which covers 80% of employees' wages, the government is offering all shops forced to close cash grants of £3,000. However, the Federation of Small Business says this is not even enough to cover rent, let alone overheads like business rates. Many small business owners as company directors also get little by way of income support. William Skinner, managing director of Saville Row tailor Dege & Skinner, thinks the government shouldn't be closing shops at all, arguing they aren't a major source of infection with proper social distancing in place.  But he is stoical about his 155-year old business's chances: ""We've survived two world wars and we can survive this."" On the downside, he thinks passing trade in Central London will evaporate completely from already depleted levels. In addition, fewer business people will need bespoke suits for business trips due to the travel ban.  But he says the company learned valuable lessons in the first lockdown - for example its tailors can now make suits and coats easily from home, although the cutting still takes place at the shop.  The firm has also moved to an appointments-based system for fittings which he hopes can continue with the right safety precautions in place.  William furloughed 17 of his 21 staff in the last lockdown but expects the figure will be closer to 10 or 11 this time.  ""Now everyone is familiar and aware and going into it with more open eyes,"" he says of the second lockdown.   ""But the question is how long will this last? Will we get a vaccine? Will the virus peter out? I am not sure."" "
6,Stonehaven derailment: Line reopens after three months,"Tue, 03 Nov 2020 00:04:36 GMT",https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-54778702,,"The rail line between Aberdeen and Dundee has reopened nearly three months after a train crash which left three people dead. The driver, a conductor and a passenger died when the Aberdeen to Glasgow service derailed near Stonehaven on 12 August after heavy rain. An interim report said the train hit washed-out rocks and gravel. Network Rail has been laying hundreds of metres of replacement track as part of a ""complex"" repair operation. Climate change impact on railways 'accelerating'Three dead after passenger train derails The derailment took place when the 06:38 service struck a landslip 1.4 miles north east of Carmont. Brett McCullough, 45, conductor Donald Dinnie, 58, and passenger Christopher Stuchbury, 62, died, and six other people were injured. Alex Hynes, managing director of Scotland's Railway, said engineers had worked ""around the clock"" to reopen the line. Transport Secretary Michael Matheson has thanked all those involved in the recovery and repair operations. Network Rail admitted in an interim report in September that the impact of climate change on its network ""is an area that is accelerating faster than our assumptions"". It said the fatal derailment showed that the industry must improve its response to extreme weather. "
7,Covid in Scotland: PM says furlough available for future lockdowns,"Mon, 02 Nov 2020 18:55:38 GMT",https://www.bbc.co.uk/news/uk-scotland-54778576,,"The furlough scheme will be available if there is a Covid-19 lockdown in Scotland in the future, the prime minister has suggested. Boris Johnson announced an extension of the job support scheme to 2 December as tough measures were imposed in England. Nicola Sturgeon said decisions on any Scottish lockdown may depend on when this funding would be available. Mr Johnson has now told MPs that the furlough scheme would ""continue to be available wherever it is needed"". Ms Sturgeon said this would be ""very welcome"" - but added she was ""seeking urgent confirmation from the Treasury that it will be exactly as we asked for"". What are the new Covid rules where you live? A new five-level system of coronavirus restrictions came into force in Scotland on Monday. At her daily briefing, Ms Sturgeon said she would ""ideally"" want to assess the impact of the latest measures before deciding whether it would be necessary to impose harsher measures. She said there were ""some encouraging signs"" that restrictions were having an impact in Scotland, with the rate of increase in cases ""slowing down"". However, she said the position remained ""very fragile"" - and that she faced a ""dilemma"" about imposing stricter measures in the short-term if there was a time limit on the furlough scheme. She said: ""I made clear last week that we might yet have to go further and we can't rule out a move to level four for all parts of the country. ""While that decision would never be easy, there is no doubt that the availability of a more extensive furlough scheme would make it slightly less difficult, because workers would have more of their wages paid. ""The decision we have to weigh up is should we take the opportunity of more generous financial support to step harder on the brakes now, to drive down infections."" She added: ""It cannot be right that the only time that additional financial support is made available is when the south of England needs to go into a lockdown. That just isn't fair given the situation we are dealing with."" The UK-wide job support scheme - which covers up to 80% of workers wages' and has supported hundreds of thousands of jobs north of the border - was extended to 2 December when Mr Johnson announced the four-week lockdown in England. However, the UK's devolved administrations complained that this ""time limited"" extension only covered the period when England is under enhanced restrictions. Wales has been in a ""firebreak"" lockdown since 23 October, and First Minister Mark Drakeford said requests to boost wage subsidies there had been repeatedly turned down. Calls for more flexibility over furlough were backed by Scottish Conservative leader Douglas Ross, who said in a speech on Monday morning that ""this has to be cleared up, now"". He said: ""It cannot be that furlough is not affordable when Scotland, Wales, Northern Ireland or parts of Northern England need to go into lockdown - but when all of England goes into lockdown, the taps are turned on. ""We all hope that by following the guidance and doing the right thing, a second Scottish lockdown will not be necessary. ""But if it is, the UK government must treat Scotland the same way as England."" Repeatedly questioned about the matter in the Commons, Mr Johnson said that the job support scheme applied across the UK. He initially refused to be drawn about whether this could continue to be the case beyond December, should local lockdowns be needed in other parts of the UK. However, he then appeared to confirm that this would be the case when asked by Mr Ross to ""explain why it seems an English job is more important than a Welsh, Scottish or Northern Irish one"". The prime minister said: ""If other parts of the UK decide to go into measures which require the furlough scheme then of course that is available to them - that applies not just now but in the future."" Pressed on the question by SNP MP Pete Wishart, he added: ""The furlough scheme will continue to be available wherever it is needed."" RULES: What are the restrictions in your area?NUMBERS: Five key figures to watch out forLOCKDOWN: Six months that changed our livesCASES: Where are the latest cases in Scotland? "
8,'A mask over my mouth feels like attacker's hand',"Tue, 03 Nov 2020 00:40:15 GMT",https://www.bbc.co.uk/news/health-54779697,,"A rape campaigner is calling for government to ""educate"" the public about face-covering exemptions, as England moves into a second lockdown. Having her mouth covered still prompts traumatic flashbacks for Georgina Fallows, who was attacked and raped some years ago. And now, she feels re-traumatised by being verbally abused in public when she doesn't wear a mask. She has written to ministers with seven mental-health and disability charities. They are asking the government to promote a ""recognised badge [or] identifier to signify the wearer as exempt"". But, the letter states, a badge ""is no substitute for greater public understanding"" of why people might not be able to wear face coverings and that this reason may be invisible.  ""My attacker literally pulled me off the street and raped me,"" Ms Fallows says.  ""Having something in front of my mouth feels like his hand."" She has severe post-traumatic stress disorder and flashbacks, sometimes so extreme she has been sedated by paramedics.  And she has waived her right to anonymity in order to campaign for greater awareness.  Face coverings are mandatory in most indoor public spaces in England, including shops and public transport. But there are exemptions for people for whom ""putting on, wearing or removing a face covering"" will cause ""severe distress"".  People who cannot wear a mask because of a physical or mental illness or disability are also exempt.  There is a note that can be downloaded from the government website. But Ms Fallows is concerned it is not viewed as ""official"". And when she has shown her exemption pass after being challenged, people will often not accept it. Man with chronic asthma 'forced' to wear mask on planeSWhat are the rules on face coverings? The 30-year-old solicitor has been ""screamed at"" for not wearing a mask. And one woman accused ""people like me of killing her father"".  There are also fears the notes could be misused by people who do not have a valid reason not to wear a face covering. Ms Fallows wants government to consider backing the Hidden Disabilities charity's sunflower lanyard, which is already being used for this purpose and is widely recognised. For now, though, she avoids shops and transport wherever possible for fear of being verbally abused.  ""People think it's just a bit uncomfortable,"" wearing a mask. But for Ms Fallows, it can be a ""medical emergency"", resulting in three- or four-hour flashbacks that end with her being restrained and unconscious. And it is a problem shared by people with a range of other mental-health conditions, disabilities, autism, and Alzheimer's disease. The letter, sent to Public Health Minister Jo Churchill, Disability Minister Justin Tomlinson and former Disability Minister Penny Mordaunt, was co-signed by charities including Mind, Sense, Alzheimer's UK and Disability Rights UK.  A  Disability Rights UK survey of 350 people uncovered reports of people fearing hate crimes and feeling like prisoners in their own homes.  Difficulties wearing face coverings particularly affect people with mental-health conditions, sensory disorders and hidden disabilities such as autism, its research suggests. Widespread misinformation online has suggested face coverings can impair breathing.  The British Lung Foundation says: ""Wearing a mask does not reduce a person's oxygen supply or cause a build-up of carbon dioxide.  ""You may have read stories that say that it can - but this isn't true."" But wearing a face covering can give people a psychological perception of heightened breathlessness. And Ms Fallows says those who do not wear one ""through choice... do a genuine disservice to those who 'cannot' wear one and are exempt"". ""They make it easier for those who are sceptical of the exemptions to case aspersions on those who qualify"".  "
9,Basildon maternity unit handed 'urgent' safety deadline,"Tue, 03 Nov 2020 00:42:53 GMT",https://www.bbc.co.uk/news/uk-england-essex-54752087,,"An NHS hospital where a woman bled to death in childbirth has been given an ""urgent"" deadline to keep patients at its maternity unit safe. A letter seen by the BBC reveals the Care Quality Commission (CQC) found unsafe staffing levels at the unit at Basildon Hospital throughout August. The CQC said the trust that runs it had until next Monday to implement appropriate measures. The trust said it had a ""robust improvement plan in place"". The seven-page document, sent by the CQC on 7 October, puts the Mid and South Essex NHS Foundation Trust on notice that it has to ""implement an effective governance system"", among other measures. Consequences for missing the deadline were not stated, but the CQC said it was using its powers under the Health and Social Care Act to impose conditions on the trust's registration. The Act does allow the CQC to temporarily close health services.  The letter described how inspectors returned on 18 September and found the trust had still not dealt with serious failings it had been warned about in August, following an visit prompted by a whistleblower. It highlighted that it did not accept that some of the problems had been addressed, despite assurances from the trust that they had been.  The letter continued ""we were not assured that you effectively reviewed staffing and escalated appropriately to maintain safe staffing in the maternity unit"". Only four shifts throughout the month of in August had safe staffing levelsThe CQC was told 20 midwives had been recruited, yet subsequent documents submitted by the trust did not support thisRequired safety meetings during shift handovers did not take take placeIncidents affecting patient safety were inappropriately categorised, including one in which a woman who lost more than a litre a blood was graded ""no harm"" Babies were transferred to intensive care, yet graded as ""low"" or ""no harm""Inconsistent guidance to staff on identifying the risk of post-partum haemorrhage. A CQC visit in June found failings in six serious cases and rated the maternity unit inadequate. Its August report said lessons had not been learnt following the death of Gabriela Pintilie in February 2019.    The Essex coroner said there had been delays, confusion and a lack of leadership after Ms Pintilie, 36, lost six litres of blood while giving birth to her daughter.  The CQC said in a statement it was now taking ""action to protect the welfare of people using the service."" Clare Panniker, chief executive for Mid and South Essex NHS Foundation Trust, said it had ""taken action following [the CQC's] initial feedback to make our services better"". ""We have a robust improvement plan in place, and continue to work closely with the CQC and our regulators as we make the necessary changes and are committed to improving the quality of maternity care,"" she said. The CQC letter said the trust had until 16:00 GMT on 9 November to implement the recommended changes. Find BBC News: East of England on Facebook, Instagram and Twitter. If you have a story suggestion email eastofenglandnews@bbc.co.uk "
